Qual o nome do órgão em que você trabalha?;órgão;Qual o seu cargo?;Cargo_Cat;Município;COD_UF;UF;Estado;Qual a sua ocupação?;Quais são as suas dúvidas em relação à LPG?;Quais são as suas dúvidas em relação à PNAB?
Estagiária na secretaria de Cultura de Santo Amaro Ba;Secretaria Municipal de Cultura;Estagiária;Estagiária;Santo Amaro;29;BA;BAHIA;Gestor da Pasta de Cultura;Haverá a LPG 2?;Será que vai ser descentralizador?
Cultura;Secretaria Municipal de Cultura;Instrutor de instrumentos musicais;Técnico;Miguel Calmon;29;BA;BAHIA;Servidor da Pasta de Cultura;Funcionário público municipal e estadual que não faz parte da organização dos editais podem participar?;Funcionário público municipal e estadual que não faz parte da organização dos editais podem participar?
Sctel;Secretaria Municipal de Educação;Instrutora Tecnica;Técnico;Santo amaro;29;BA;BAHIA;Servidor da Pasta de Cultura;Prestação de contas do município para com o Minc;Nao tenho
Lavrador;Sociedade Civil;Lavrador;Auxiliar;Boninal;29;BA;BAHIA;Servidor da Pasta de Cultura;Nem..uma .duvida;Nem uma.duvida
Secretaria de cultura;Secretaria Municipal de Cultura;Diretor de cultura;Diretor;Lençóis;29;BA;BAHIA;Gestor da Pasta de Cultura;Quero, saber como será usado o saldo que ficou em conta!;Espero que às respostas estejam no conteúdo da reunião!
Secretaria Municipal de Educação, Cultura, Desporto e Turismo;Secretaria Municipal de Educação;Secretário Executivo;Secretário;Mundo Novo;29;BA;BAHIA;Servidor da Pasta de Cultura;A data de Execução dos Projetos contemplados, todos devem ter execução até o dia 31/12/2024?;"Quando os modelos de editais serão liberados para os municípios? Ou podemos fazer adaptações a partir dos editais da Lei Paulo Gustavo? 

Os Editais e consequentemente os pagamentos só podem ser lançados, depois da aprovação do PAAR pelo Ministério da Cultura na plataforma Transfere GOV?"
Sec. De Educação e Cultura;Secretaria Municipal de Educação;Assessora Cultural;Assessor;LAJE;29;BA;BAHIA;Servidor da Pasta de Cultura;Até quando pode ser execultada.;É obrigatório o Município realizar todo processo de Execussão.
Secretaria de Educação e Cultura;Secretaria Municipal de Educação;Dirigente municipal;Indefinido;Conceição do Almeida;29;BA;BAHIA;Gestor da Pasta de Cultura;Prestacão de contas ( prazo, documentação, BB ágil, etc);Preenchimento do PAAR
SecultBA;Secretaria Estadual de Cultura;Coordenação de sistemas e projetos especiais da diretoria de territorialização da cultura;Coordenador;Salvador;29;BA;BAHIA;Servidor da Pasta de Cultura;O que pode e o que nao pode na execução dos recursos;Como articular a pnab com os sistemas municipais de cultura
Fundação Itabunense de Cultura e Cidadania;Fundação;Chefe de planejamento projetos e pesquisa;Gerente;Itabuna;29;BA;BAHIA;Servidor da Pasta de Cultura;Forma de prestação de contas.;Forma de construção do Paar.
Secretaria de Cultura, Esporte, lazer e Turismo;Secretaria Municipal de Cultura;Diretora de Cultura;Diretor;Ipiaú;29;BA;BAHIA;Servidor da Pasta de Cultura;Prestação de contas, em casos de contrapartida.;Aquisições, Cultura viva, bolsas,
Secretaria de Cultura;Secretaria Municipal de Cultura;Técnico;Técnico;Rodelas;29;BA;BAHIA;Servidor da Pasta de Cultura;Prestação de contas;Preenchimento do PAAR, execução dos recursos em ano eleitoral.
Diretoria de Cultura  Amargosa;Diretoria de Cultura;Administrativo;Indefinido;Amargosa;29;BA;BAHIA;Servidor da Pasta de Cultura;Yodas;Todas
SECULT;Secretaria Municipal de Cultura;TÉCNICO DE NÍVEL SUPERIOR;Técnico;Salvador;29;BA;BAHIA;Servidor da Pasta de Cultura;A Lei terá novos editais?;o Ponto de Cultura que foi contemplado em 1 ano com os recursos da PNAB, poderá participar em outros anos?
Secretaria de Educação e Cultura;Secretaria Municipal de Educação;Coordenador de Fomento a Cultura;Coordenador;Santa Rita de Cássia;29;BA;BAHIA;Servidor da Pasta de Cultura;Aplicação dos redimentos;Aplicação para as associações
Prefeitura Municipal de Miguel Calmon;Prefeitura;Coordenador Municipal de Cultura;Coordenador;Miguel Calmon;29;BA;BAHIA;Gestor da Pasta de Cultura;Não tenho no momento;Não tenho no momento.
Secult;Secretaria Municipal de Cultura;Assessor técnico;Assessor;Santo amaro;29;BA;BAHIA;Servidor da Pasta de Cultura;Não tenho;Sobre a cultura viva só para participar  quem tem o certificado de ponto de Cultura?
DEPARTAMENTO DE CULTURA, TURISMO E EVENTOS;Diretoria de Cultura;CHEFE DE DIVISÃO DE CULTURA E TURISMO;Gerente;SANTO ESTÊVÃO;29;BA;BAHIA;Servidor da Pasta de Cultura;"SALDO REMANESCENTE
PRESTAÇÃO DE CONTAS";"PAAR
PROGRAMA CULTURA VIVA
EDITAIS
REFORMAS E INVESTIMENTOS EM EQUIPAMENTOS PÚBLICOS"
Secretaria de Cultura e Turismo;Secretaria Municipal de Cultura;Acessoria;Assessor;Cachoeira;29;BA;BAHIA;Servidor da Pasta de Cultura;Se os agentes culturais não prestarem contas, como deverá ser o processo?;Enquanto servidora, posso participar da comissão orgamizadora pra o pnab, referente aos 5% que o município aderiu pra a formação do profissional
Prefeitura Municipal de Chorrochó;Secretaria Municipal de Cultura;Diretor Municipal de Cultura;Diretor;Chorrochó;29;BA;BAHIA;Gestor da Pasta de Cultura;Não tenho;Não tenho
Secretaria municipal de cultura de Ibipeba;Secretaria Municipal de Cultura;Secretária;Secretário;Ibipeba;29;BA;BAHIA;Gestor da Pasta de Cultura;Prestação de contas;Minutas modelos para acordo de cooperação técnica e demais modalidades. Isso é urgente, pois estamos tentando executar antes do período eleitoral. Sem estourar os prazos, mas pra isso o MINC precisa passar as minutas e demais informações que forem necessárias.
Secretaria de educação e cultura;Secretaria Municipal de Educação;Diretor de cultura;Diretor;Boninal;29;BA;BAHIA;Gestor da Pasta de Cultura;A prestação de contas;Entender melhor para executar em nosso município
SECRETARIA DE ESPORTE, CULTURA E TURISMO;Secretaria Municipal de Cultura;SECRETÁRIO;Secretário;WAGNER;29;BA;BAHIA;Gestor da Pasta de Cultura;Nenhuma;O recurso poderá ser utilizado para contratação de pessoal e aquisição de bens?
MinC;Ministério da Cultura;Coordenador;Coordenador;Salvador;29;BA;BAHIA;Gestor da Pasta de Cultura;Aplicação de sobras e rendimentos;Adequação orçamentária
Prefeitura municipal de Ipirá;Prefeitura;Superintendente municipal de cultura;Superintendente;Ipirá;29;BA;BAHIA;Gestor da Pasta de Cultura;Inciso II do Artigo 6;Aplicação
Escritório do MinC na Bahia;Ministério da Cultura;Servidora;Indefinido;Salvador;29;BA;BAHIA;Servidor da Pasta de Cultura;Como servidora do Escritório do MinC na Bahia, me interesso principalmente em acompanhar as dúvidas dos gestores e o retorno oficial do MinC acerca das questões, para poder dar suporte e garantir o alinhamento de entendimento na orientação aos gestores com relação à execução da LPG.;Como servidora do Escritório do MinC na Bahia, me interesso principalmente em acompanhar as dúvidas dos gestores e o retorno oficial do MinC acerca das questões, para poder dar suporte e garantir o alinhamento de entendimento na orientação aos gestores com relação à execução da PNAB.
AME;Sociedade Civil;Consultora;Consultor;Salvador;29;BA;BAHIA;Consultor;prestação de contas;"PAAR
Utilização de recursos da lei para projetos da prefeitura, como reformas, compra de acervo, etc."
Secretaria de cultura e turismo;Secretaria Municipal de Cultura;Secretária de cultura;Secretário;Ibiapina;23;CE;CEARÁ;Gestor da Pasta de Cultura;Sobre os recursos remanescentes;Em que podemos comprar para a secretaria de cultura
Secretaria de Cultura;Secretaria Municipal de Cultura;Gerente de Núcleo;Gerente;Horizonte;23;CE;CEARÁ;Servidor da Pasta de Cultura;Não.;"O PAAR é relativo apenas o cadastro do primeiro plano de ação enviado do valor referente a 2023? 

Ou uma articulação das atividades nos próximos 4 anos?"
Secretaria de Cultura;Secretaria Municipal de Cultura;Técnico de cultura;Técnico;Horizonte;23;CE;CEARÁ;Servidor da Pasta de Cultura;Tempo para executar os recursos?;"Os municípios receberão os valor completo de uma só vez?
Como vai ser o acompanhamento das ações?"
Secretaria da Cultura;Secretaria Municipal de Cultura;Secretário;Secretário;Groairas;23;CE;CEARÁ;Gestor da Pasta de Cultura;Prestação de contas;Aplicação
Cultura e Turismo;Secretaria Municipal de Cultura;Secretário de Cultura;Secretário;Tururu;23;CE;CEARÁ;Gestor da Pasta de Cultura;"- Quais projetos serão alcançados e aprovados?
- Como os recursos serão aplicados?";"- Quais projetos serão alcançados e aprovados?
- Como os recursos serão aplicados?"
Secretaria de Cultura Turismo e Tecnologia;Secretaria Municipal de Cultura;Secretária;Secretário;Apuiarés;23;CE;CEARÁ;Gestor da Pasta de Cultura;Prestação de contas;Plano anual
Secretaria de Turismo e Cultura de Caucaia;Secretaria Municipal de Turismo;Diretoria de Turismo e Cultura;Diretor;Caucaia;23;CE;CEARÁ;Servidor da Pasta de Cultura;Prestação de contas;Prestação de contas
Secretaria de Cultura de Campos Sales;Secretaria Municipal de Cultura;Gestor;Indefinido;Campos Sales;23;CE;CEARÁ;Servidor da Pasta de Cultura;Prestação de conta;Editais e cultura viva
Ministério da Cultura;Ministério da Cultura;Servidor Público Feferal;Indefinido;Fortaleza;23;CE;CEARÁ;Servidor da Pasta de Cultura;Nenhuma;Nenhuma
Secretaria Municipal de Cultura;Secretaria Municipal de Cultura;Assessora técnica;Assessor;Crato;23;CE;CEARÁ;Servidor da Pasta de Cultura;Prestava de contas.;Distribuição dos valores.
Secretaria de cultura;Secretaria Municipal de Cultura;Agente administrativo;Auxiliar;Choró;23;CE;CEARÁ;Agente Cultural;Prestação de contas;Quais os principais pontos da PNAB
Secretaria Municipal de Cultura e Turismo;Secretaria Municipal de Cultura;Chefe de Departamento de Ações Culturais;Diretor;Limoeiro do Norte;23;CE;CEARÁ;Gestor da Pasta de Cultura;Todas possíveis;Todas possíveis
Secretaria de cultura, turismo e esporte;Secretaria Municipal de Cultura;Coordenadora de ação cultural;Coordenador;Russas;23;CE;CEARÁ;Servidor da Pasta de Cultura;Prestação de contas;Prazos para execução e prestação de contas
Nordeste;Sociedade Civil;Secretário;Secretário;Choro;23;CE;CEARÁ;Gestor da Pasta de Cultura;Qual a função da secretaria nas prestações de contas;Como serão a aplicação dos recursos
Secretaria de Turismo,Cultura e Desporto;Secretaria Municipal de Turismo;Monitor de arte e cultura;Auxiliar;Mulungu-Ceará;23;CE;CEARÁ;Servidor da Pasta de Cultura;Execução de editais;Sobre a política de execução da Lei. Também o plano de execução dos recursos da PNAB.
Secretaria de Cultura, Turismo e Tecnologia de Apuiarés;Secretaria Municipal de Cultura;Assessora de Governo;Assessor;Apuiarés;23;CE;CEARÁ;Servidor da Pasta de Cultura;Gostaria de saber sobre a prestação de contas do município com o ministério da cultura.;Sobre o plano de execução.
Sec. Cultura de Crato;Secretaria Municipal de Cultura;Assessor técnico especializado;Assessor;Crato;23;CE;CEARÁ;Servidor da Pasta de Cultura;.;"Com relação ao percentual da Política de Cultura Viva, o ente federativo que possui legislação própria não pode utilizar seus cadastros para, por exemplo, estabelecer bonificações. Foi informado que apenas os cadastros integrados ao nacional teriam essa possibilidade de uso, o entendimento está correto? Como realizar essa integração? 
Com relação ao edital de Cultura Viva que serão disponibilizados pelo MInc, há uma previsão?"
SECRETARIA DE CULTURA E TURISMO;Secretaria Municipal de Cultura;SECRETÁRIA;Secretário;PENTECOSTE;23;CE;CEARÁ;Gestor da Pasta de Cultura;"RECURSOS QUE SOBRARAM.
DIVULGAÇÃO.";ELABORAÇÃO DOS EDITAIS.
Secretaria de Cultura e Turismo de Missão Velha/CE;Secretaria Municipal de Cultura;Secretário;Secretário;Missão Velha;23;CE;CEARÁ;Gestor da Pasta de Cultura;Prazos e regras para a finalização dos editais e divulgação/exibição dos projetos, e prestação de contas.;Elaboração do PAAR e execução da Lei, e em quais prédios/edifícios podem ser investidos os valores para reforma.
Secretaria de cultura e turismo;Secretaria Municipal de Cultura;Coordenador;Coordenador;Horizonte;23;CE;CEARÁ;Servidor da Pasta de Cultura;"Prazos 
aplicação de recursos";"Aplicações de recursos;
Prazos 
escutas de agentes culturais"
Secretaria da Cultura de Trairi;Secretaria Municipal de Cultura;Secretaria Adjunta;Subsecretário;Trairi;23;CE;CEARÁ;Servidor da Pasta de Cultura;Tudo muito novo para mim. Então preciso me aprofundar mais sobre a LPG;Tudo muito novo para mim. Então preciso me aprofundar mais sobre a PNAB.
Secretaria da Cultura de Trairi;Secretaria Municipal de Cultura;Técnico de Cultura;Técnico;Trairi;23;CE;CEARÁ;Gestor da Pasta de Cultura;Prestação de Contas, Declaração para proponente, execução.;Recursos de utilização pelo órgão, PAAR, dentre outras.
Secretaria municipal de cultura de Trairí;Secretaria Municipal de Cultura;Secretário municipal de cultura de Trairí;Secretário;Trairi;23;CE;CEARÁ;Gestor da Pasta de Cultura;Prestação de contas;Cultura viva e aquisição de equipamentos
Secretaria de Cultura e Turismo;Secretaria Municipal de Cultura;Turismólogo;Técnico;Barbalha;23;CE;CEARÁ;Servidor da Pasta de Cultura;"Data de prestação de contas;
Até quando pode ser realizado os projetos;";"O recurso poderá ser trabalhado em período eleitoral?;
Realização e prestação de contas será até o dia 31/12/2024?"
Secretaria de cultura e Turismo;Secretaria Municipal de Cultura;Secretária de cultura e Turismo;Secretário;Barbalha;23;CE;CEARÁ;Gestor da Pasta de Cultura;Prestação de contas .;Em relação à aquisição de bens
Secretaria de Turismo e Cultura de Caucaia;Secretaria Municipal de Turismo;Diretor de Cultura;Diretor;Caucaia;23;CE;CEARÁ;Servidor da Pasta de Cultura;Documentação para prestação de Contas, prazo de execução pelo agente cultural pode ultrapassar 2024?;Execução do PAAR
Secretaria da Cultura  de Itapipoca;Secretaria Municipal de Cultura;Supervisora da cultura;Gerente;Itapipoca;23;CE;CEARÁ;Servidor da Pasta de Cultura;Não temos dúvidas no momento.;Como aplicar às políticas de cotas quando o edital tem poucas vagas?
SECRETARIA DA CULTURA E TURISMO DE SOBRAL;Secretaria Municipal de Cultura;COORDENADOR DE ARTES, CULTURA E CIDADANIA;Coordenador;Sobral;23;CE;CEARÁ;Servidor da Pasta de Cultura;Com o saldo remanescente da LPG, posso abrir novas chamadas? Como posso fazer essas alterações no PLANO DE AÇÃO já cadastrado no Transferegov?;Quando sairão os modelos de editais do Cultura Viva?
Secretaria de Cultura;Secretaria Municipal de Cultura;Agente Cultural;Agente Cultural;Limoeiro do Norte;23;CE;CEARÁ;Agente Cultural;Trabalho em uma outra secretaria. Sou sedido para a Cultura. Posso concorrer ao edital?;Trabalho em uma outra secretaria. Sou sedido para a Cultura. Posso concorrer ao edital?
Secretaria Municipal de Cultura e Turismo;Secretaria Municipal de Cultura;Chefe de Departamento de Turismo;Diretor;Limoeiro do Norte;23;CE;CEARÁ;Servidor da Pasta de Cultura;O que fazer com o restante do saldo da LPG se for um valor baixo que não compensa lançar edital para onde devolver: Estado ou MinC e qual o procedimento, e prazo?;Os recursos da PNAB poderão ser gastos com.bolsas de trabalho para trabalhar com a equipe da Secretaria para ajudar na execução da PNAB? Haja vista que a mesma tem um número reduzido de pessoal.
secult sobral;Secretaria Municipal de Cultura;técnico;Técnico;sobral;23;CE;CEARÁ;Consultor;não há;Editais cultura Viva
Secretaria da Cultura e Turismo de Sobral;Secretaria Municipal de Cultura;Gerente de incentivo às Artes;Gerente;Sobral;23;CE;CEARÁ;Servidor da Pasta de Cultura;Como se dará o processo de alteração do Plano de Ação;Quando teremos os modelos de editais?
Secretaria da Cultura, Esporte e Juventude;Secretaria Municipal de Cultura;Diretor de cultura;Diretor;Solonópole;23;CE;CEARÁ;Gestor da Pasta de Cultura;O valores a serem repassados através de editais são descontados? De qual forma?;Quais equipamentos Culturais podem ser adquiridos pela secretaria de cultura?
